user_id,product_id,score,interaction_type,order_id
U115,P036,3,cart,ORD-0064
U133,P033,5,purchase,ORD-0065
U022,P039,5,purchase,ORD-0066
U002,P006,3,cart,ORD-0067
U187,P007,5,purchase,ORD-0068
U188,P005,5,purchase,ORD-0069
U039,P037,5,purchase,ORD-0070
U174,P002,5,purchase,ORD-0071
U179,P028,2,wishlist,ORD-0072
U056,P012,2,wishlist,ORD-0073
U078,P019,2,wishlist,ORD-0074
U082,P024,3,cart,ORD-0075
U030,P031,5,purchase,ORD-0076
U090,P002,5,purchase,ORD-0077
U058,P036,5,purchase,ORD-0078
U038,P005,5,purchase,ORD-0079
U003,P001,1,view,ORD-0080
U125,P020,5,purchase,ORD-0081
U153,P017,3,cart,ORD-0082
U013,P017,5,purchase,ORD-0083
U014,P034,5,purchase,ORD-0084
U004,P015,5,purchase,ORD-0085
U177,P029,5,purchase,ORD-0086
U070,P003,5,purchase,ORD-0087
U010,P023,5,purchase,ORD-0088
U160,P014,3,cart,ORD-0089
U039,P027,2,wishlist,ORD-0090
U112,P016,3,cart,ORD-0091
U039,P008,5,purchase,ORD-0092
U058,P034,5,purchase,ORD-0093
U185,P009,2,wishlist,ORD-0094
U189,P002,5,purchase,ORD-0095
U167,P036,5,purchase,ORD-0096
U115,P003,5,purchase,ORD-0097
U162,P040,2,wishlist,ORD-0098
U176,P015,5,purchase,ORD-0099
U011,P018,2,wishlist,ORD-0100
U110,P029,5,purchase,ORD-0101
U199,P038,5,purchase,ORD-0102
U172,P033,3,cart,ORD-0103
U185,P015,3,cart,ORD-0104
U193,P035,3,cart,ORD-0105
U187,P005,1,view,ORD-0106
U133,P010,1,view,ORD-0107
U182,P029,5,purchase,ORD-0108
U092,P023,2,wishlist,ORD-0109
U193,P032,2,wishlist,ORD-0110
U133,P018,2,wishlist,ORD-0111
U151,P018,3,cart,ORD-0112
U165,P014,3,cart,ORD-0113
U170,P018,5,purchase,ORD-0114
U077,P037,5,purchase,ORD-0115
U006,P016,1,view,ORD-0116
U171,P001,5,purchase,ORD-0117
U028,P005,5,purchase,ORD-0118
U074,P026,5,purchase,ORD-0119
U174,P037,3,cart,ORD-0120
U052,P026,5,purchase,ORD-0121
U049,P003,5,purchase,ORD-0122
U135,P010,5,purchase,ORD-0123
U059,P015,2,wishlist,ORD-0124
U196,P017,5,purchase,ORD-0125
U071,P011,5,purchase,ORD-0126
U081,P031,3,cart,ORD-0127
U135,P025,5,purchase,ORD-0128
U160,P004,3,cart,ORD-0129
U169,P027,5,purchase,ORD-0130
U147,P025,5,purchase,ORD-0131
U104,P009,2,wishlist,ORD-0132
U074,P009,2,wishlist,ORD-0133
U200,P029,1,view,ORD-0134
U126,P037,3,cart,ORD-0135
U010,P003,2,wishlist,ORD-0136
U043,P039,5,purchase,ORD-0137
U084,P026,5,purchase,ORD-0138
U017,P008,5,purchase,ORD-0139
U087,P019,5,purchase,ORD-0140
U047,P020,3,cart,ORD-0141
U024,P009,2,wishlist,ORD-0142
U138,P013,5,purchase,ORD-0143
U109,P038,3,cart,ORD-0144
U111,P008,2,wishlist,ORD-0145
U042,P015,2,wishlist,ORD-0146
U055,P017,5,purchase,ORD-0147
U084,P007,3,cart,ORD-0148
U195,P018,5,purchase,ORD-0149
U098,P034,3,cart,ORD-0150
U184,P017,5,purchase,ORD-0151
U137,P026,3,cart,ORD-0152
U094,P009,5,purchase,ORD-0153
U132,P009,3,cart,ORD-0154
U101,P031,5,purchase,ORD-0155
U021,P029,5,purchase,ORD-0156
U112,P010,5,purchase,ORD-0157
U049,P035,5,purchase,ORD-0158
U035,P001,3,cart,ORD-0159
U149,P005,5,purchase,ORD-0160
U106,P037,3,cart,ORD-0161
U023,P005,3,cart,ORD-0162
U144,P017,5,purchase,ORD-0163
U126,P012,5,purchase,ORD-0164
U027,P034,5,purchase,ORD-0165
U063,P010,5,purchase,ORD-0166
U198,P011,5,purchase,ORD-0167
U067,P018,5,purchase,ORD-0168
U130,P029,3,cart,ORD-0169
U159,P031,3,cart,ORD-0170
U045,P040,3,cart,ORD-0171
U035,P040,5,purchase,ORD-0172
U163,P032,2,wishlist,ORD-0173
U110,P018,5,purchase,ORD-0174
U136,P007,2,wishlist,ORD-0175
U158,P038,1,view,ORD-0176
U111,P040,3,cart,ORD-0177
U196,P016,2,wishlist,ORD-0178
U004,P038,3,cart,ORD-0179
U200,P031,3,cart,ORD-0180
U037,P027,5,purchase,ORD-0181
U195,P032,2,wishlist,ORD-0182
U047,P039,5,purchase,ORD-0183
U182,P002,1,view,ORD-0184
U148,P037,5,purchase,ORD-0185
U063,P028,5,purchase,ORD-0186
U127,P004,1,view,ORD-0187
U180,P013,2,wishlist,ORD-0188
U166,P021,5,purchase,ORD-0189
U092,P027,3,cart,ORD-0190
U004,P014,5,purchase,ORD-0191
U198,P019,2,wishlist,ORD-0192
U131,P036,5,purchase,ORD-0193
U036,P016,3,cart,ORD-0194
U151,P003,5,purchase,ORD-0195
U041,P031,2,wishlist,ORD-0196
U064,P013,5,purchase,ORD-0197
U062,P001,5,purchase,ORD-0198
U023,P035,3,cart,ORD-0199
U070,P033,5,purchase,ORD-0200
U193,P008,5,purchase,ORD-0201
U115,P039,5,purchase,ORD-0202
U191,P008,5,purchase,ORD-0203
U166,P019,2,wishlist,ORD-0204
U067,P038,2,wishlist,ORD-0205
U012,P009,3,cart,ORD-0206
U051,P033,3,cart,ORD-0207
U007,P021,5,purchase,ORD-0208
U032,P014,5,purchase,ORD-0209
U196,P011,2,wishlist,ORD-0210
U183,P016,5,purchase,ORD-0211
U145,P036,5,purchase,ORD-0212
U024,P036,1,view,ORD-0213
U126,P028,5,purchase,ORD-0214
U099,P001,5,purchase,ORD-0215
U126,P031,5,purchase,ORD-0216
U103,P020,5,purchase,ORD-0217
U043,P029,2,wishlist,ORD-0218
U194,P033,5,purchase,ORD-0219
U039,P003,5,purchase,ORD-0220
U088,P040,5,purchase,ORD-0221
U035,P040,5,purchase,ORD-0222
U124,P037,5,purchase,ORD-0223
U123,P014,3,cart,ORD-0224
U093,P028,5,purchase,ORD-0225
U159,P010,5,purchase,ORD-0226
U010,P025,3,cart,ORD-0227
U002,P037,5,purchase,ORD-0228
U084,P023,5,purchase,ORD-0229
U088,P004,5,purchase,ORD-0230
U103,P005,5,purchase,ORD-0231
U133,P004,5,purchase,ORD-0232
U136,P004,5,purchase,ORD-0233
U145,P018,5,purchase,ORD-0234
U175,P025,5,purchase,ORD-0235
U029,P038,5,purchase,ORD-0236
U164,P027,5,purchase,ORD-0237
U154,P039,5,purchase,ORD-0238
U045,P028,3,cart,ORD-0239
U090,P033,5,purchase,ORD-0240
U119,P024,5,purchase,ORD-0241
U101,P001,5,purchase,ORD-0242
U170,P030,5,purchase,ORD-0243
U019,P011,5,purchase,ORD-0244
U139,P040,1,view,ORD-0245
U036,P004,5,purchase,ORD-0246
U110,P018,5,purchase,ORD-0247
U078,P011,5,purchase,ORD-0248
U169,P015,2,wishlist,ORD-0249
U130,P012,1,view,ORD-0250
U086,P020,5,purchase,ORD-0251
U120,P011,1,view,ORD-0252
U049,P002,2,wishlist,ORD-0253
U115,P010,5,purchase,ORD-0254
U109,P018,5,purchase,ORD-0255
U130,P024,5,purchase,ORD-0256
U107,P025,5,purchase,ORD-0257
U067,P013,5,purchase,ORD-0258
U162,P010,5,purchase,ORD-0259
U094,P017,5,purchase,ORD-0260
U155,P023,5,purchase,ORD-0261
U106,P025,5,purchase,ORD-0262
U180,P012,2,wishlist,ORD-0263
U064,P001,5,purchase,ORD-0264
U095,P008,5,purchase,ORD-0265
U111,P005,5,purchase,ORD-0266
U069,P020,5,purchase,ORD-0267
U037,P026,5,purchase,ORD-0268
U121,P037,2,wishlist,ORD-0269
U084,P032,5,purchase,ORD-0270
U096,P018,5,purchase,ORD-0271
U043,P013,5,purchase,ORD-0272
U033,P004,3,cart,ORD-0273
U060,P033,3,cart,ORD-0274
U046,P039,5,purchase,ORD-0275
U037,P032,2,wishlist,ORD-0276
U061,P018,5,purchase,ORD-0277
U104,P013,3,cart,ORD-0278
U104,P012,5,purchase,ORD-0279
U175,P034,3,cart,ORD-0280
U093,P038,5,purchase,ORD-0281
U081,P014,3,cart,ORD-0282
U101,P013,5,purchase,ORD-0283
U195,P034,1,view,ORD-0284
U175,P025,5,purchase,ORD-0285
U174,P028,5,purchase,ORD-0286
U102,P021,1,view,ORD-0287
U056,P014,5,purchase,ORD-0288
U062,P022,2,wishlist,ORD-0289
U080,P021,5,purchase,ORD-0290
U024,P028,3,cart,ORD-0291
U098,P021,5,purchase,ORD-0292
U045,P030,5,purchase,ORD-0293
U106,P035,5,purchase,ORD-0294
U029,P036,5,purchase,ORD-0295
U001,P024,2,wishlist,ORD-0296
U058,P003,5,purchase,ORD-0297
U041,P014,5,purchase,ORD-0298
U073,P008,2,wishlist,ORD-0299
U143,P023,5,purchase,ORD-0300
U124,P013,2,wishlist,ORD-0301
U116,P026,5,purchase,ORD-0302
U141,P006,5,purchase,ORD-0303
U143,P023,3,cart,ORD-0304
U172,P037,5,purchase,ORD-0305
U001,P034,5,purchase,ORD-0306
U168,P028,5,purchase,ORD-0307
U066,P019,5,purchase,ORD-0308
U177,P032,5,purchase,ORD-0309
U117,P009,3,cart,ORD-0310
U195,P013,3,cart,ORD-0311
U165,P011,5,purchase,ORD-0312
U088,P038,3,cart,ORD-0313
U041,P039,1,view,ORD-0314
U157,P023,5,purchase,ORD-0315
U019,P008,5,purchase,ORD-0316
U083,P001,5,purchase,ORD-0317
U159,P030,5,purchase,ORD-0318
U055,P030,5,purchase,ORD-0319
U143,P029,5,purchase,ORD-0320
U061,P021,2,wishlist,ORD-0321
U075,P007,5,purchase,ORD-0322
U001,P005,2,wishlist,ORD-0323
U081,P021,5,purchase,ORD-0324
U141,P018,5,purchase,ORD-0325
U152,P007,5,purchase,ORD-0326
U011,P016,2,wishlist,ORD-0327
U005,P021,3,cart,ORD-0328
U057,P016,5,purchase,ORD-0329
U080,P009,3,cart,ORD-0330
U042,P009,5,purchase,ORD-0331
U084,P007,2,wishlist,ORD-0332
U096,P008,3,cart,ORD-0333
U091,P013,3,cart,ORD-0334
U120,P028,5,purchase,ORD-0335
U062,P020,5,purchase,ORD-0336
U198,P006,5,purchase,ORD-0337
U104,P014,5,purchase,ORD-0338
U018,P036,3,cart,ORD-0339
U183,P017,3,cart,ORD-0340
U070,P014,5,purchase,ORD-0341
U148,P023,5,purchase,ORD-0342
U190,P027,5,purchase,ORD-0343
U088,P015,2,wishlist,ORD-0344
U058,P007,1,view,ORD-0345
U189,P008,2,wishlist,ORD-0346
U117,P028,1,view,ORD-0347
U065,P003,5,purchase,ORD-0348
U065,P009,5,purchase,ORD-0349
U022,P034,5,purchase,ORD-0350
U115,P034,5,purchase,ORD-0351
U144,P016,3,cart,ORD-0352
U088,P037,5,purchase,ORD-0353
U011,P008,5,purchase,ORD-0354
U098,P016,5,purchase,ORD-0355
U016,P031,3,cart,ORD-0356
U035,P039,5,purchase,ORD-0357
U158,P032,5,purchase,ORD-0358
U003,P007,3,cart,ORD-0359
U197,P029,5,purchase,ORD-0360
U175,P019,5,purchase,ORD-0361
U194,P027,5,purchase,ORD-0362
U135,P016,1,view,ORD-0363
U087,P012,5,purchase,ORD-0364
U111,P027,5,purchase,ORD-0365
U097,P001,5,purchase,ORD-0366
U005,P039,5,purchase,ORD-0367
U042,P038,5,purchase,ORD-0368
U068,P034,5,purchase,ORD-0369
U183,P005,3,cart,ORD-0370
U134,P001,2,wishlist,ORD-0371
U130,P026,1,view,ORD-0372
U055,P032,5,purchase,ORD-0373
U024,P006,5,purchase,ORD-0374
U070,P036,5,purchase,ORD-0375
U129,P036,5,purchase,ORD-0376
U137,P011,5,purchase,ORD-0377
U032,P014,3,cart,ORD-0378
U017,P010,5,purchase,ORD-0379
U149,P024,3,cart,ORD-0380
U058,P024,5,purchase,ORD-0381
U020,P025,5,purchase,ORD-0382
U056,P030,1,view,ORD-0383
U192,P036,2,wishlist,ORD-0384
U131,P005,2,wishlist,ORD-0385
U184,P020,5,purchase,ORD-0386
U082,P010,5,purchase,ORD-0387
U020,P034,5,purchase,ORD-0388
U112,P038,5,purchase,ORD-0389
U143,P025,5,purchase,ORD-0390
U178,P040,2,wishlist,ORD-0391
U003,P033,2,wishlist,ORD-0392
U053,P031,5,purchase,ORD-0393
U130,P006,5,purchase,ORD-0394
U027,P034,5,purchase,ORD-0395
U056,P001,5,purchase,ORD-0396
U070,P037,5,purchase,ORD-0397
U014,P021,5,purchase,ORD-0398
U161,P035,5,purchase,ORD-0399
U021,P003,2,wishlist,ORD-0400
U194,P034,5,purchase,ORD-0401
U198,P031,2,wishlist,ORD-0402
U001,P009,5,purchase,ORD-0403
U178,P011,5,purchase,ORD-0404
U113,P024,3,cart,ORD-0405
U072,P039,5,purchase,ORD-0406
U067,P006,3,cart,ORD-0407
U097,P036,5,purchase,ORD-0408
U125,P015,5,purchase,ORD-0409
U151,P010,5,purchase,ORD-0410
U059,P005,5,purchase,ORD-0411
U085,P035,5,purchase,ORD-0412
U057,P032,3,cart,ORD-0413
U104,P003,5,purchase,ORD-0414
U092,P016,3,cart,ORD-0415
U152,P009,5,purchase,ORD-0416
U068,P003,2,wishlist,ORD-0417
U079,P011,3,cart,ORD-0418
U035,P013,2,wishlist,ORD-0419
U043,P022,5,purchase,ORD-0420
U041,P003,3,cart,ORD-0421
U031,P036,5,purchase,ORD-0422
U176,P036,3,cart,ORD-0423
U113,P033,3,cart,ORD-0424
U197,P033,5,purchase,ORD-0425
U071,P017,5,purchase,ORD-0426
U098,P002,5,purchase,ORD-0427
U030,P011,5,purchase,ORD-0428
U074,P015,5,purchase,ORD-0429
U058,P029,5,purchase,ORD-0430
U145,P017,1,view,ORD-0431
U135,P029,2,wishlist,ORD-0432
U055,P024,2,wishlist,ORD-0433
U122,P023,3,cart,ORD-0434
U191,P009,5,purchase,ORD-0435
U133,P033,5,purchase,ORD-0436
U026,P010,5,purchase,ORD-0437
U119,P003,3,cart,ORD-0438
U039,P032,2,wishlist,ORD-0439
U057,P033,5,purchase,ORD-0440
U111,P005,5,purchase,ORD-0441
U189,P002,3,cart,ORD-0442
U155,P021,5,purchase,ORD-0443
U043,P040,5,purchase,ORD-0444
U114,P007,3,cart,ORD-0445
U115,P032,5,purchase,ORD-0446
U086,P011,1,view,ORD-0447
U177,P007,5,purchase,ORD-0448
U083,P025,5,purchase,ORD-0449
U030,P032,1,view,ORD-0450
U083,P029,5,purchase,ORD-0451
U134,P032,5,purchase,ORD-0452
U089,P023,5,purchase,ORD-0453
U106,P011,5,purchase,ORD-0454
U071,P009,5,purchase,ORD-0455
U184,P017,5,purchase,ORD-0456
U124,P011,5,purchase,ORD-0457
U103,P012,3,cart,ORD-0458
U074,P022,5,purchase,ORD-0459
U121,P001,3,cart,ORD-0460
U179,P037,5,purchase,ORD-0461
U097,P033,2,wishlist,ORD-0462
U026,P020,5,purchase,ORD-0463
U068,P039,1,view,ORD-0464
U029,P037,5,purchase,ORD-0465
U053,P012,5,purchase,ORD-0466
U178,P011,2,wishlist,ORD-0467
U040,P014,3,cart,ORD-0468
U022,P037,2,wishlist,ORD-0469
U169,P039,5,purchase,ORD-0470
U184,P004,5,purchase,ORD-0471
U128,P005,5,purchase,ORD-0472
U140,P034,5,purchase,ORD-0473
U090,P033,1,view,ORD-0474
U060,P030,5,purchase,ORD-0475
U046,P008,5,purchase,ORD-0476
U114,P035,2,wishlist,ORD-0477
U107,P040,5,purchase,ORD-0478
U040,P018,5,purchase,ORD-0479
U114,P025,3,cart,ORD-0480
U013,P030,5,purchase,ORD-0481
U082,P001,3,cart,ORD-0482
U029,P004,5,purchase,ORD-0483
U181,P007,5,purchase,ORD-0484
U053,P015,2,wishlist,ORD-0485
U127,P009,3,cart,ORD-0486
U081,P003,2,wishlist,ORD-0487
U009,P026,2,wishlist,ORD-0488
U077,P011,3,cart,ORD-0489
U057,P035,5,purchase,ORD-0490
U125,P036,5,purchase,ORD-0491
U098,P027,5,purchase,ORD-0492
U135,P009,5,purchase,ORD-0493
U199,P022,5,purchase,ORD-0494
U069,P005,5,purchase,ORD-0495
U128,P014,1,view,ORD-0496
U159,P016,3,cart,ORD-0497
U059,P023,5,purchase,ORD-0498
U032,P005,3,cart,ORD-0499
U022,P003,1,view,ORD-0500
U129,P014,3,cart,ORD-0501
U005,P002,1,view,ORD-0502
U074,P012,5,purchase,ORD-0503
U033,P007,5,purchase,ORD-0504
U036,P005,5,purchase,ORD-0505
U174,P012,3,cart,ORD-0506
U169,P021,2,wishlist,ORD-0507
U180,P025,5,purchase,ORD-0508
U185,P006,5,purchase,ORD-0509
U030,P033,5,purchase,ORD-0510
U195,P012,5,purchase,ORD-0511
U145,P036,3,cart,ORD-0512
U114,P002,3,cart,ORD-0513
U141,P013,5,purchase,ORD-0514
U134,P004,3,cart,ORD-0515
U027,P005,5,purchase,ORD-0516
U033,P030,5,purchase,ORD-0517
U050,P015,3,cart,ORD-0518
U026,P029,2,wishlist,ORD-0519
U103,P005,5,purchase,ORD-0520
U118,P017,5,purchase,ORD-0521
U098,P030,5,purchase,ORD-0522
U080,P014,5,purchase,ORD-0523
U085,P017,3,cart,ORD-0524
U180,P016,5,purchase,ORD-0525
U132,P014,5,purchase,ORD-0526
U057,P039,3,cart,ORD-0527
U134,P017,5,purchase,ORD-0528
U049,P001,5,purchase,ORD-0529
U171,P021,5,purchase,ORD-0530
U073,P026,3,cart,ORD-0531
U025,P009,3,cart,ORD-0532
U105,P027,5,purchase,ORD-0533
U095,P012,5,purchase,ORD-0534
U093,P038,3,cart,ORD-0535
U039,P039,3,cart,ORD-0536
U150,P011,5,purchase,ORD-0537
U152,P007,3,cart,ORD-0538
U079,P002,5,purchase,ORD-0539
U192,P036,5,purchase,ORD-0540
U072,P020,5,purchase,ORD-0541
U087,P002,5,purchase,ORD-0542
U004,P020,5,purchase,ORD-0543
U034,P016,5,purchase,ORD-0544
U181,P018,5,purchase,ORD-0545
U103,P018,5,purchase,ORD-0546
U128,P013,5,purchase,ORD-0547
U091,P039,3,cart,ORD-0548
U126,P020,2,wishlist,ORD-0549
U169,P015,3,cart,ORD-0550
U155,P024,1,view,ORD-0551
U008,P035,5,purchase,ORD-0552
U041,P009,5,purchase,ORD-0553
U131,P011,2,wishlist,ORD-0554
U024,P019,5,purchase,ORD-0555
U084,P004,5,purchase,ORD-0556
U079,P004,5,purchase,ORD-0557
U120,P032,5,purchase,ORD-0558
U032,P031,5,purchase,ORD-0559
U093,P036,3,cart,ORD-0560
U132,P037,5,purchase,ORD-0561
U190,P010,5,purchase,ORD-0562
U192,P024,5,purchase,ORD-0563
U057,P021,5,purchase,ORD-0564
U073,P001,5,purchase,ORD-0565
U082,P031,5,purchase,ORD-0566
U133,P010,5,purchase,ORD-0567
U181,P029,2,wishlist,ORD-0568
U194,P022,3,cart,ORD-0569
U087,P013,3,cart,ORD-0570
U180,P010,5,purchase,ORD-0571
U028,P039,5,purchase,ORD-0572
U160,P026,5,purchase,ORD-0573
U183,P008,3,cart,ORD-0574
U175,P027,5,purchase,ORD-0575
U167,P001,3,cart,ORD-0576
U175,P017,5,purchase,ORD-0577
U141,P011,5,purchase,ORD-0578
U053,P033,5,purchase,ORD-0579
U092,P021,5,purchase,ORD-0580
U191,P011,5,purchase,ORD-0581
U091,P014,5,purchase,ORD-0582
U079,P020,5,purchase,ORD-0583
U031,P034,5,purchase,ORD-0584
U051,P029,2,wishlist,ORD-0585
U173,P028,3,cart,ORD-0586
U153,P009,2,wishlist,ORD-0587
U094,P016,3,cart,ORD-0588
U055,P007,5,purchase,ORD-0589
U078,P030,5,purchase,ORD-0590
U030,P027,2,wishlist,ORD-0591
U008,P023,5,purchase,ORD-0592
U114,P025,5,purchase,ORD-0593
U027,P032,5,purchase,ORD-0594
U077,P038,5,purchase,ORD-0595
U052,P022,5,purchase,ORD-0596
U093,P006,5,purchase,ORD-0597
U053,P040,5,purchase,ORD-0598
U070,P022,3,cart,ORD-0599
U035,P036,5,purchase,ORD-0600
U014,P034,3,cart,ORD-0601
U135,P013,3,cart,ORD-0602
U069,P034,5,purchase,ORD-0603
U032,P038,3,cart,ORD-0604
U052,P013,3,cart,ORD-0605
U102,P022,5,purchase,ORD-0606
U039,P033,5,purchase,ORD-0607
U005,P032,3,cart,ORD-0608
U184,P026,3,cart,ORD-0609
U182,P020,5,purchase,ORD-0610
U195,P027,5,purchase,ORD-0611
U021,P001,5,purchase,ORD-0612
U190,P031,2,wishlist,ORD-0613
U049,P025,5,purchase,ORD-0614
U099,P026,5,purchase,ORD-0615
U048,P031,5,purchase,ORD-0616
U011,P006,3,cart,ORD-0617
U171,P016,5,purchase,ORD-0618
U013,P018,3,cart,ORD-0619
U038,P014,2,wishlist,ORD-0620
U077,P019,5,purchase,ORD-0621
U133,P015,5,purchase,ORD-0622
U189,P031,1,view,ORD-0623
U165,P033,3,cart,ORD-0624
U045,P031,5,purchase,ORD-0625
U200,P014,5,purchase,ORD-0626
U121,P003,3,cart,ORD-0627
U114,P019,5,purchase,ORD-0628
U122,P003,5,purchase,ORD-0629
U173,P015,2,wishlist,ORD-0630
U031,P036,5,purchase,ORD-0631
U073,P021,5,purchase,ORD-0632
U155,P005,1,view,ORD-0633
U138,P036,5,purchase,ORD-0634
U124,P023,5,purchase,ORD-0635
U197,P040,5,purchase,ORD-0636
U117,P036,2,wishlist,ORD-0637
U041,P016,3,cart,ORD-0638
U038,P020,5,purchase,ORD-0639
U049,P021,5,purchase,ORD-0640
U084,P021,1,view,ORD-0641
U174,P036,5,purchase,ORD-0642
U172,P024,3,cart,ORD-0643
U026,P025,5,purchase,ORD-0644
U158,P014,5,purchase,ORD-0645
U093,P008,5,purchase,ORD-0646
U126,P028,1,view,ORD-0647
U098,P030,5,purchase,ORD-0648
U084,P013,5,purchase,ORD-0649
U157,P011,3,cart,ORD-0650
U198,P006,2,wishlist,ORD-0651
U188,P015,5,purchase,ORD-0652
U157,P002,5,purchase,ORD-0653
U134,P027,5,purchase,ORD-0654
U050,P003,5,purchase,ORD-0655
U082,P022,5,purchase,ORD-0656
U191,P015,3,cart,ORD-0657
U124,P012,5,purchase,ORD-0658
U077,P027,5,purchase,ORD-0659
U053,P013,3,cart,ORD-0660
U057,P008,2,wishlist,ORD-0661
U060,P015,5,purchase,ORD-0662
U062,P020,2,wishlist,ORD-0663
U025,P030,5,purchase,ORD-0664
U042,P025,3,cart,ORD-0665
U091,P017,5,purchase,ORD-0666
U012,P021,5,purchase,ORD-0667
U023,P020,3,cart,ORD-0668
U080,P008,5,purchase,ORD-0669
U066,P036,5,purchase,ORD-0670
U070,P008,2,wishlist,ORD-0671
U176,P010,5,purchase,ORD-0672
U060,P007,5,purchase,ORD-0673
U194,P017,5,purchase,ORD-0674
U066,P015,3,cart,ORD-0675
U180,P026,3,cart,ORD-0676
U071,P008,1,view,ORD-0677
U156,P001,3,cart,ORD-0678
U001,P014,5,purchase,ORD-0679
U049,P009,5,purchase,ORD-0680
U200,P034,5,purchase,ORD-0681
U173,P027,1,view,ORD-0682
U145,P030,1,view,ORD-0683
U145,P039,3,cart,ORD-0684
U175,P010,3,cart,ORD-0685
U074,P013,5,purchase,ORD-0686
U046,P016,1,view,ORD-0687
U032,P017,5,purchase,ORD-0688
U003,P018,5,purchase,ORD-0689
U088,P001,5,purchase,ORD-0690
U072,P023,5,purchase,ORD-0691
U097,P005,2,wishlist,ORD-0692
U149,P011,3,cart,ORD-0693
U075,P001,1,view,ORD-0694
U180,P004,5,purchase,ORD-0695
U023,P019,5,purchase,ORD-0696
U013,P028,5,purchase,ORD-0697
U064,P037,3,cart,ORD-0698
U098,P035,5,purchase,ORD-0699
U154,P034,2,wishlist,ORD-0700
U072,P020,3,cart,ORD-0701
U113,P021,5,purchase,ORD-0702
U129,P017,5,purchase,ORD-0703
U073,P023,5,purchase,ORD-0704
U071,P023,5,purchase,ORD-0705
U122,P021,5,purchase,ORD-0706
U139,P013,5,purchase,ORD-0707
U069,P020,5,purchase,ORD-0708
U093,P034,2,wishlist,ORD-0709
U094,P030,5,purchase,ORD-0710
U038,P008,5,purchase,ORD-0711
U137,P016,5,purchase,ORD-0712
U134,P028,5,purchase,ORD-0713
U053,P024,5,purchase,ORD-0714
U009,P001,3,cart,ORD-0715
U101,P014,1,view,ORD-0716
U110,P003,2,wishlist,ORD-0717
U083,P034,5,purchase,ORD-0718
U185,P008,5,purchase,ORD-0719
U018,P037,5,purchase,ORD-0720
U042,P040,2,wishlist,ORD-0721
U154,P004,5,purchase,ORD-0722
U127,P024,5,purchase,ORD-0723
U165,P021,5,purchase,ORD-0724
U094,P029,2,wishlist,ORD-0725
U175,P035,5,purchase,ORD-0726
U153,P022,5,purchase,ORD-0727
U178,P016,5,purchase,ORD-0728
U136,P034,3,cart,ORD-0729
U146,P009,5,purchase,ORD-0730
U027,P036,5,purchase,ORD-0731
U048,P010,3,cart,ORD-0732
U010,P010,2,wishlist,ORD-0733
U172,P034,2,wishlist,ORD-0734
U010,P002,3,cart,ORD-0735
U094,P006,5,purchase,ORD-0736
U118,P022,5,purchase,ORD-0737
U084,P038,5,purchase,ORD-0738
U041,P011,2,wishlist,ORD-0739
U038,P013,5,purchase,ORD-0740
U165,P001,5,purchase,ORD-0741
